composer,piece,S->S,S->A,S->W,A->S,A->A,A->W,W->S,W->A,W->W
Chopin,BI157-2op59-2_reviewed,0.2962962962962963,0.1111111111111111,0.1728395061728395,0.06172839506172839,0.04938271604938271,0.04938271604938271,0.12345679012345678,0.04938271604938271,0.08641975308641975
Chopin,BI157-3op59-3_reviewed,0.25210084033613445,0.05042016806722689,0.13445378151260504,0.11764705882352941,0.2184873949579832,0.03361344537815126,0.01680672268907563,0.13445378151260504,0.04201680672268908
Chopin,BI16-1_reviewed,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.0,0.0,0.07692307692307693,0.0
Chopin,BI16-2_reviewed,0.25,0.1875,0.25,0.125,0.0,0.0,0.1875,0.0,0.0
Chopin,BI162-1op63-1_reviewed,0.14893617021276595,0.10638297872340426,0.2553191489361702,0.07446808510638298,0.06382978723404255,0.05319148936170213,0.2127659574468085,0.0425531914893617,0.0425531914893617
Chopin,BI162-2op63-2_reviewed,0.24242424242424243,0.2727272727272727,0.15151515151515152,0.15151515151515152,0.0,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304
Chopin,BI162-3op63-3_reviewed,0.35714285714285715,0.05357142857142857,0.26785714285714285,0.05357142857142857,0.0,0.017857142857142856,0.14285714285714285,0.017857142857142856,0.08928571428571429
Chopin,BI163op67-4_reviewed,0.25,0.125,0.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.16666666666666666
Chopin,BI167op67-2_reviewed,0.38333333333333336,0.16666666666666666,0.16666666666666666,0.15,0.0,0.0,0.13333333333333333,0.0,0.0
Chopin,BI168op68-4_reviewed,0.5135135135135135,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.0,0.0,0.02702702702702703,0.08108108108108109,0.0
Chopin,BI18op68-2_reviewed,0.13432835820895522,0.04477611940298507,0.43283582089552236,0.04477611940298507,0.0,0.0,0.29850746268656714,0.014925373134328358,0.029850746268656716
