composer,piece,n,S,A,W
Mozart,K279-2_reviewed,118,0.4322033898305085,0.3305084745762712,0.23728813559322035
Mozart,K279-3_reviewed,278,0.5,0.3345323741007194,0.16546762589928057
Mozart,K280-1_reviewed,190,0.5210526315789473,0.28421052631578947,0.19473684210526315
Mozart,K280-2_reviewed,84,0.42857142857142855,0.4642857142857143,0.10714285714285714
Mozart,K280-3_reviewed,170,0.36470588235294116,0.4470588235294118,0.18823529411764706
Mozart,K281-1_reviewed,153,0.5751633986928104,0.23529411764705882,0.1895424836601307
Mozart,K281-2_reviewed,110,0.4727272727272727,0.3090909090909091,0.21818181818181817
Mozart,K281-3_reviewed,296,0.5202702702702703,0.32094594594594594,0.15878378378378377
Mozart,K282-1_reviewed,77,0.44155844155844154,0.37662337662337664,0.18181818181818182
Mozart,K282-2_reviewed,91,0.46153846153846156,0.27472527472527475,0.26373626373626374
Mozart,K282-3_reviewed,129,0.4496124031007752,0.2868217054263566,0.26356589147286824
Mozart,K283-1_reviewed,227,0.44493392070484583,0.42731277533039647,0.1277533039647577
Mozart,K283-2_reviewed,127,0.36220472440944884,0.3858267716535433,0.25196850393700787
Mozart,K283-3_reviewed,241,0.4730290456431535,0.35684647302904565,0.17012448132780084
Mozart,K284-1_reviewed,238,0.42857142857142855,0.4495798319327731,0.12184873949579832
Mozart,K284-2_reviewed,172,0.48255813953488375,0.20348837209302326,0.313953488372093
Mozart,K284-3_reviewed,600,0.61,0.25,0.14
Mozart,K309-1_reviewed,213,0.5258215962441315,0.27230046948356806,0.20187793427230047
Mozart,K309-2_reviewed,188,0.46808510638297873,0.3670212765957447,0.16489361702127658
Mozart,K309-3_reviewed,304,0.5361842105263158,0.17105263157894737,0.29276315789473684
Mozart,K310-1_reviewed,243,0.6337448559670782,0.17695473251028807,0.18930041152263374
Mozart,K310-2_reviewed,179,0.4748603351955307,0.39106145251396646,0.1340782122905028
Mozart,K310-3_reviewed,371,0.33962264150943394,0.42857142857142855,0.23180592991913745
Mozart,K311-1_reviewed,251,0.4860557768924303,0.27091633466135456,0.24302788844621515
Mozart,K311-2_reviewed,191,0.5497382198952879,0.1518324607329843,0.29842931937172773
Mozart,K311-3_reviewed,345,0.5739130434782609,0.24347826086956523,0.1826086956521739
Mozart,K330-1_reviewed,203,0.4433497536945813,0.29064039408866993,0.2660098522167488
Mozart,K330-2_reviewed,129,0.5426356589147286,0.18604651162790697,0.2713178294573643
Mozart,K330-3_reviewed,251,0.46215139442231074,0.13545816733067728,0.40239043824701193
Mozart,K331-1_reviewed,286,0.5034965034965035,0.25524475524475526,0.24125874125874125
Mozart,K331-2_reviewed,118,0.5423728813559322,0.22033898305084745,0.23728813559322035
Mozart,K331-3_reviewed,106,0.5754716981132075,0.11320754716981132,0.3113207547169811
Mozart,K332-1_reviewed,274,0.5474452554744526,0.19708029197080293,0.25547445255474455
Mozart,K332-2_reviewed,121,0.5867768595041323,0.2066115702479339,0.2066115702479339
Mozart,K332-3_reviewed,365,0.4602739726027397,0.32054794520547947,0.2191780821917808
Mozart,K333-1_reviewed,360,0.43333333333333335,0.41944444444444445,0.14722222222222223
Mozart,K333-2_reviewed,163,0.44785276073619634,0.3312883435582822,0.22085889570552147
