mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
16,0,12/8,i,6.0,0.0,1.5,-1.0,S,0.375,0.1875,0.5625,"(-1, 3, -1)",0.5625
16,1/4,12/8,ii%65,8.0,0.25,1.5,2.0,A,0.1875,0.5625,0.75,"(3, -1, 2)",0.75
16,3/8,12/8,V(4),7.0,0.375,1.5,-1.0,S,0.375,0.5625,1.125,"(-1, 2, -1)",1.125
16,5/8,12/8,V(+4),7.0,0.625,1.5,0.0,I,0.1875,0.5625,1.125,"(2, -1, 0)",1.125
16,3/4,12/8,i[i|PAC}{,6.0,0.75,1.5,-1.0,S,0.5625,0.75,1.3125,"(-1, 0, -1)",1.3125
16,9/8,12/8,I,6.0,1.125,1.5,0.0,I,0.375,0.9375,1.6875,"(0, -1, 0)",1.6875
16,11/8,12/8,iv,5.0,1.375,1.5,-1.0,S,-0.5625,-0.1875,0.75,"(-1, 0, -1)",0.75
17,0,12/8,I,6.0,0.0,1.5,1.0,W,0.375,-0.1875,-0.375,"(0, -1, 1)",-0.375
17,1/4,12/8,iv6,5.0,0.25,1.5,-1.0,S,0.1875,0.5625,0.375,"(-1, 1, -1)",0.375
17,3/8,12/8,I,6.0,0.375,1.5,1.0,W,0.375,0.5625,1.125,"(1, -1, 1)",1.125
17,5/8,12/8,iio,8.0,0.625,1.5,2.0,A,0.1875,0.5625,1.125,"(-1, 1, 2)",1.125
17,3/4,12/8,I,6.0,0.75,1.5,-2.0,A,0.375,0.5625,1.125,"(1, 2, -2)",1.125
17,1,12/8,iv,5.0,1.0,1.5,-1.0,S,0.1875,0.5625,1.125,"(2, -2, -1)",1.125
17,9/8,12/8,I,6.0,1.125,1.5,1.0,W,0.375,0.5625,1.125,"(-2, -1, 1)",1.125
17,11/8,12/8,ii%7,8.0,1.375,1.5,2.0,A,-0.5625,-0.1875,0.375,"(-1, 1, 2)",0.375
18,0,12/8,I],6.0,0.0,1.5,-2.0,A,0.375,-0.1875,-0.375,"(1, 2, -2)",-0.375
18,1/4,12/8,ii.#viio64,10.0,0.25,1.5,4.0,W,0.1875,0.5625,0.375,"(2, -2, 4)",0.375
18,3/8,12/8,i6,5.0,0.375,1.5,-5.0,A,0.375,0.5625,1.125,"(-2, 4, -5)",1.125
18,5/8,12/8,#viio6,10.0,0.625,1.5,5.0,A,0.1875,0.5625,1.125,"(4, -5, 5)",1.125
18,3/4,12/8,i,5.0,0.75,1.5,-5.0,A,0.5625,0.75,1.3125,"(-5, 5, -5)",1.3125
18,9/8,12/8,i6,5.0,1.125,1.5,0.0,I,-0.1875,0.375,1.125,"(5, -5, 0)",1.125
19,0,12/8,VI,1.0,0.0,1.5,-4.0,S,0.5625,0.375,0.75,"(-5, 0, -4)",0.75
19,3/8,12/8,iv,4.0,0.375,1.5,3.0,S,0.5625,1.125,1.5,"(0, -4, 3)",1.5
19,3/4,12/8,ii,7.0,0.75,1.5,3.0,S,0.375,0.9375,2.0625,"(-4, 3, 3)",2.0625
20,0,12/8,V,6.0,0.0,1.5,-1.0,S,0.5625,0.9375,1.875,"(3, 3, -1)",1.875
20,3/8,12/8,i,5.0,0.375,1.5,-1.0,S,0.1875,0.75,1.6875,"(3, -1, -1)",1.6875
20,1/2,12/8,V65,6.0,0.5,1.5,1.0,W,0.375,0.5625,1.3125,"(-1, -1, 1)",1.3125
20,3/4,12/8,i6,5.0,0.75,1.5,-1.0,S,0.9375,1.3125,1.875,"(-1, 1, -1)",1.875
20,11/8,12/8,V65/iv,5.0,1.375,1.5,0.0,I,-0.5625,0.375,1.6875,"(1, -1, 0)",1.6875
21,0,12/8,iv,4.0,0.0,1.5,-1.0,S,0.375,-0.1875,0.1875,"(-1, 0, -1)",0.1875
21,1/4,12/8,iv6,4.0,0.25,1.5,0.0,I,0.1875,0.5625,0.375,"(0, -1, 0)",0.375
21,3/8,12/8,i64,5.0,0.375,1.5,1.0,W,0.1875,0.375,0.9375,"(-1, 0, 1)",0.9375
21,1/2,12/8,ii%65/iv,6.0,0.5,1.5,1.0,W,0.375,0.5625,0.9375,"(0, 1, 1)",0.9375
21,3/4,12/8,i6,5.0,0.75,1.5,-1.0,S,0.375,0.75,1.3125,"(1, 1, -1)",1.3125
21,1,12/8,iv,4.0,1.0,1.5,-1.0,S,0.1875,0.5625,1.3125,"(1, -1, -1)",1.3125
21,9/8,12/8,V,6.0,1.125,1.5,2.0,A,-0.1875,0.0,0.5625,"(-1, -1, 2)",0.5625
22,0,12/8,I.V6/V|EC}{,5.0,0.0,1.5,-1.0,S,0.9375,0.75,0.75,"(-1, 2, -1)",0.75
22,5/8,12/8,V,4.0,0.625,1.5,-1.0,S,0.1875,1.125,1.875,"(2, -1, -1)",1.875
22,3/4,12/8,V64/V,5.0,0.75,1.5,1.0,W,0.375,0.5625,1.6875,"(-1, -1, 1)",1.6875
22,1,12/8,V2/V,5.0,1.0,1.5,0.0,I,0.1875,0.5625,1.125,"(-1, 1, 0)",1.125
22,9/8,12/8,V6,4.0,1.125,1.5,-1.0,S,0.375,0.5625,1.125,"(1, 0, -1)",1.125
22,11/8,12/8,viio6/V,9.0,1.375,1.5,5.0,A,-0.5625,-0.1875,0.375,"(0, -1, 5)",0.375
23,0,12/8,V,4.0,0.0,1.5,-5.0,A,0.375,-0.1875,-0.375,"(-1, 5, -5)",-0.375
23,1/4,12/8,V6,4.0,0.25,1.5,0.0,I,0.1875,0.5625,0.375,"(5, -5, 0)",0.375
23,3/8,12/8,vi7,6.0,0.375,1.5,2.0,A,0.375,0.5625,1.125,"(-5, 0, 2)",1.125
23,5/8,12/8,ii,5.0,0.625,1.5,-1.0,S,0.1875,0.5625,1.125,"(0, 2, -1)",1.125
23,3/4,12/8,V7,4.0,0.75,1.5,-1.0,S,0.375,0.5625,1.125,"(2, -1, -1)",1.125
23,1,12/8,I,3.0,1.0,1.5,-1.0,S,0.1875,0.5625,1.125,"(-1, -1, -1)",1.125
23,9/8,12/8,V65/V,5.0,1.125,1.5,2.0,A,-0.1875,0.0,0.5625,"(-1, -1, 2)",0.5625
24,0,12/8,V,4.0,0.0,1.5,-1.0,S,0.5625,0.375,0.375,"(-1, 2, -1)",0.375
24,3/8,12/8,V6,4.0,0.375,1.5,0.0,I,0.5625,1.125,1.5,"(2, -1, 0)",1.5
