mc,mc_onset,timesig,label,special,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
285,1/2,3/4,V7/V,,1.0,0.5,0.75,0.0,I,0.375,1.125,2.25,"(-3, 0, 0)",3.0
286,0,3/4,V7,,0.0,0.0,0.75,-1.0,S,0.75,1.125,2.25,"(0, 0, -1)",3.375
287,0,3/4,I,,-1.0,0.0,0.75,-1.0,S,0.75,1.5,2.625,"(0, -1, -1)",3.75
288,0,3/4,V2,,0.0,0.0,0.75,1.0,W,0.375,1.125,2.625,"(-1, -1, 1)",3.75
288,1/2,3/4,V65,,0.0,0.5,0.75,0.0,I,0.375,0.75,1.875,"(-1, 1, 0)",3.375
289,0,3/4,V[V7,,0.0,0.0,0.75,0.0,I,0.75,1.125,1.875,"(1, 0, 0)",3.0
290,0,3/4,I64,,-1.0,0.0,0.75,-1.0,S,1.5,2.25,3.375,"(0, 0, -1)",4.125
292,0,3/4,V7,,0.0,0.0,0.75,1.0,W,0.75,2.25,4.5,"(0, -1, 1)",5.625
293,0,3/4,V7],,0.0,0.0,0.75,0.0,I,0.375,1.125,3.375,"(-1, 1, 0)",5.625
293,1/2,3/4,#viio7/vi,,7.0,0.5,0.75,7.0,I,0.375,0.75,1.875,"(1, 0, 7)",4.125
294,0,3/4,vi,,2.0,0.0,0.75,-5.0,A,0.75,1.125,1.875,"(0, 7, -5)",3.0
295,0,3/4,#viio65/vi,,7.0,0.0,0.75,5.0,A,0.75,1.5,2.625,"(7, -5, 5)",3.375
296,0,3/4,#viio7/ii,,6.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(-5, 5, -1)",4.125
297,0,3/4,ii,,1.0,0.0,0.75,-5.0,A,0.75,1.5,3.0,"(5, -1, -5)",4.5
298,0,3/4,viio7/IV,,3.0,0.0,0.75,2.0,A,0.75,1.5,3.0,"(-1, -5, 2)",4.5
299,0,3/4,viio7/V,,5.0,0.0,0.75,2.0,A,0.75,1.5,3.0,"(-5, 2, 2)",4.5
300,0,3/4,V(64),,0.0,0.0,0.75,-5.0,A,0.75,1.5,3.0,"(2, 2, -5)",4.5
301,0,3/4,V7,,0.0,0.0,0.75,0.0,I,0.75,1.5,3.0,"(2, -5, 0)",4.5
302,0,3/4,I\\,,-1.0,0.0,0.75,-1.0,S,0.1875,0.9375,2.4375,"(-5, 0, -1)",3.9375
302,1/4,3/4,I[I,,-1.0,0.25,0.75,0.0,I,0.5625,0.75,1.6875,"(0, -1, 0)",3.1875
303,0,3/4,It6,It,5.0,0.0,0.75,6.0,S,0.75,1.3125,2.0625,"(-1, 0, 6)",3.0
304,0,3/4,I64,,-1.0,0.0,0.75,-6.0,W,0.75,1.5,2.8125,"(0, 6, -6)",3.5625
305,0,3/4,iv6,,-2.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(6, -6, -1)",4.3125
306,0,3/4,I64,,-1.0,0.0,0.75,1.0,W,0.75,1.5,3.0,"(-6, -1, 1)",4.5
307,0,3/4,iv,,-2.0,0.0,0.75,-1.0,S,0.75,1.5,3.0,"(-1, 1, -1)",4.5
308,0,3/4,I,,-1.0,0.0,0.75,1.0,W,0.75,1.5,3.0,"(1, -1, 1)",4.5
309,0,3/4,Fr6,Fr,1.0,0.0,0.75,2.0,A,0.75,1.5,3.0,"(-1, 1, 2)",4.5
310,0,3/4,I],,-1.0,0.0,0.75,-2.0,A,0.75,1.5,3.0,"(1, 2, -2)",4.5
311,0,3/4,I,,-1.0,0.0,0.75,0.0,I,1.6875,2.4375,3.9375,"(2, -2, 0)",5.4375
313,1/4,3/4,I\\,,-1.0,0.25,0.75,0.0,I,0.5625,2.25,4.6875,"(-2, 0, 0)",6.1875
314,0,3/4,,,,0.0,0.75,,,,,,,
