mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
12	12	3/4	3/4	12/8	2	1	IV6/IV					A	I		IV6/IV	IV		6.0		IV			M	0	0	5, 2, 1		1	5	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
12	12	9/8	9/8	12/8	2	1	V65/IV					A	I		V65/IV	V		65.0		IV			Mm7	0	0	7, 4, 1, 3		3	7	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
13	13	0	0	12/8	2	1	IV(9)					A	I		IV(9)	IV			9				M	0	0	2, 6, 3	4.0	2	2	1	6	0.1428571428571428	0.125	1.0	0.1111111111111111
13	13	3/8	3/8	12/8	2	1	viio					A	I		viio	vii	o						o	0	0	8, 5, 2		8	8	1	4	0.2	0.125	1.0	0.1111111111111111
13	13	3/4	3/4	12/8	2	1	vi.V65					A	vi		V65	V		65.0					Mm7	0	1	11, 8, 5, 7		7	11	1	4	0.2	0.125	1.0	0.1111111111111111
13	13	9/8	9/8	12/8	2	1	i					A	vi		i	i							m	0	1	6, 3, 7		6	6	1	4	0.2	0.125	0.625	0.1666666666666666
13	13	11/8	11/8	12/8	2	1	iio64					A	vi		iio64	ii	o	64.0					o	0	1	2, 8, 5		8	2	0	3	0.0	0.0	0.375	0.0
14	14	0	0	12/8	2	1	V7					A	vi		V7	V		7.0					Mm7	0	1	7, 11, 8, 5		7	7	4	14	0.2222222222222222	0.5	4.0	0.1111111111111111
15	15	0	0	12/8	2	1	VI					A	vi		VI	VI							M	0	1	2, 6, 3		2	2	1	4	0.2	0.125	1.0	0.1111111111111111
15	15	3/8	3/8	12/8	2	1	V65/VII					A	vi		V65/VII	V		65.0		VII			Mm7	0	1	9, 6, 3, 5		5	9	1	4	0.2	0.125	1.0	0.1111111111111111
15	15	3/4	3/4	12/8	2	1	VII					A	vi		VII	VII							M	0	1	4, 8, 5		4	4	2	3	0.4	0.25	0.875	0.2222222222222222
15	15	9/8	9/8	12/8	2	1	V65					A	vi		V65	V		65.0					Mm7	0	1	11, 8, 5, 7		7	11	1	6	0.1428571428571428	0.125	1.0	0.1111111111111111
16	16	0	0	12/8	2	1	i					A	vi		i	i							m	0	1	6, 3, 7		6	6	1	3	0.25	0.125	0.75	0.1428571428571428
16	16	1/4	1/4	12/8	2	1	ii%65					A	vi		ii%65	ii	%	65.0					%7	0	1	5, 2, 6, 8		8	5	0	2	0.0	0.0	0.25	0.0
16	16	3/8	3/8	12/8	2	1	V(4)					A	vi		V(4)	V			4				M	0	1	7, 6, 8		7	7	0	4	0.0	0.0	0.875	0.0
16	16	5/8	5/8	12/8	2	1	V(+4)					A	vi		V(+4)	V			+4				M	0	1	7, 11, 8	6.0	7	7	0	2	0.0	0.0	0.25	0.0
16	16	3/4	3/4	12/8	2	1	i[i|PAC}{					A	vi	i	i	i					PAC	}{	m	0	1	6, 3, 7		6	6	3	5	0.375	0.375	1.75	0.1764705882352941
16	16	9/8	9/8	12/8	2	1	I					A	vi	i	I	I							M	0	1	6, 10, 7		6	6	1	3	0.25	0.125	0.75	0.1428571428571428
16	16	11/8	11/8	12/8	2	1	iv					A	vi	i	iv	iv							m	0	1	5, 2, 6		5	5	0	2	0.0	0.0	0.25	0.0
17	17	0	0	12/8	2	1	I					A	vi	i	I	I							M	0	1	6, 10, 7		6	6	1	4	0.2	0.125	1.375	0.0833333333333333
17	17	1/4	1/4	12/8	2	1	iv6					A	vi	i	iv6	iv		6.0					m	0	1	2, 6, 5		5	2	0	2	0.0	0.0	0.25	0.0
17	17	3/8	3/8	12/8	2	1	I					A	vi	i	I	I							M	0	1	6, 10, 7		6	6	1	2	0.3333333333333333	0.125	0.375	0.25
17	17	5/8	5/8	12/8	2	1	iio					A	vi	i	iio	ii	o						o	0	1	8, 5, 2		8	8	0	2	0.0	0.0	0.25	0.0
17	17	3/4	3/4	12/8	2	1	I					A	vi	i	I	I							M	0	1	6, 10, 7		6	6	1	3	0.25	0.125	1.75	0.0666666666666666
17	17	1	1	12/8	2	1	iv					A	vi	i	iv	iv							m	0	1	5, 2, 6		5	5	0	2	0.0	0.0	0.25	0.0
17	17	9/8	9/8	12/8	2	1	I					A	vi	i	I	I							M	0	1	6, 10, 7		6	6	1	2	0.3333333333333333	0.125	0.375	0.25
17	17	11/8	11/8	12/8	2	1	ii%7	-2.0	-5.0	/		A	vi	i	ii%7	ii	%	7.0					%7	0	1	8, 5, 2, 6		8	8	0	2	0.0	0.0	0.25	0.0
18	18	0	0	12/8	2	1	I]					A	vi	i	I	I							M	0	1	6, 10, 7		6	6	1	4	0.2	0.125	0.875	0.125
18	18	1/4	1/4	12/8	2	1	ii.#viio64					A	ii		#viio64	#vii	o	64.0					o	0	1	4, 10, 7		10	4	0	2	0.0	0.0	0.25	0.0
18	18	3/8	3/8	12/8	2	1	i6					A	ii		i6	i		6.0					m	0	1	2, 6, 5		5	2	1	2	0.3333333333333333	0.125	0.375	0.25
